,human,machine
8305,30 mar 2001,2001-03-30
8306,30 jul 2011,2011-07-30
8307,friday may 21 1993,1993-05-21
8308,may 17 2012,2012-05-17
8309,august 6 2011,2011-08-06
8310,18 12 82,1982-12-18
8311,10 jan 1970,1970-01-10
8312,april 18 2008,2008-04-18
8313,february 4 1982,1982-02-04
8314,december 25 2014,2014-12-25
8315,12 february 1985,1985-02-12
8316,tuesday july 4 2017,2017-07-04
8317,27 jun 1986,1986-06-27
8318,20 jun 1982,1982-06-20
8319,july 17 2007,2007-07-17
8320,30 jul 1983,1983-07-30
8321,29 apr 1984,1984-04-29
8322,april 17 2000,2000-04-17
8323,sunday august 9 1992,1992-08-09
8324,5/20/09,2009-05-20
8325,friday july 12 1974,1974-07-12
8326,friday january 9 2015,2015-01-09
8327,december 22 2001,2001-12-22
8328,saturday december 5 1987,1987-12-05
8329,24 apr 2003,2003-04-24
8330,thursday october 3 2013,2013-10-03
8331,september 7 2002,2002-09-07
8332,thursday june 29 2017,2017-06-29
8333,monday august 8 1988,1988-08-08
8334,saturday june 6 2009,2009-06-06
8335,1 january 1992,1992-01-01
8336,29 december 2012,2012-12-29
8337,24 jun 2017,2017-06-24
8338,thursday december 11 2014,2014-12-11
8339,06 feb 1988,1988-02-06
8340,thursday september 7 1995,1995-09-07
8341,16.04.12,2012-04-16
8342,saturday february 10 1973,1973-02-10
8343,sunday june 30 1974,1974-06-30
8344,06.03.11,2011-03-06
8345,20 jun 1982,1982-06-20
8346,sunday april 19 1987,1987-04-19
8347,nov 3 1996,1996-11-03
8348,august 13 1986,1986-08-13
8349,23 may 2009,2009-05-23
8350,08 apr 1970,1970-04-08
8351,26 december 1977,1977-12-26
8352,8/14/76,1976-08-14
8353,sunday february 9 1975,1975-02-09
8354,june 26 2013,2013-06-26
8355,saturday november 3 1979,1979-11-03
8356,31 jan 1981,1981-01-31
8357,october 6 1992,1992-10-06
8358,13 10 75,1975-10-13
8359,friday september 13 1985,1985-09-13
8360,30 jan 2017,2017-01-30
8361,monday july 30 1984,1984-07-30
8362,wednesday october 4 2006,2006-10-04
8363,wednesday march 10 2010,2010-03-10
8364,may 29 1977,1977-05-29
8365,17 oct 2004,2004-10-17
8366,9 sep 1991,1991-09-09
8367,saturday may 22 2010,2010-05-22
8368,24 december 1999,1999-12-24
8369,wednesday april 19 1989,1989-04-19
8370,26 september 1972,1972-09-26
8371,tuesday february 2 1993,1993-02-02
8372,11/9/87,1987-11-09
8373,thursday december 1 1983,1983-12-01
8374,monday september 21 1970,1970-09-21
8375,04 jul 2009,2009-07-04
8376,tuesday july 2 2002,2002-07-02
8377,06 jul 2001,2001-07-06
8378,wednesday march 21 1984,1984-03-21
8379,wednesday january 22 1975,1975-01-22
8380,tuesday december 16 2014,2014-12-16
8381,monday august 24 1992,1992-08-24
8382,25 jan 1978,1978-01-25
8383,17 september 1983,1983-09-17
8384,saturday february 4 2017,2017-02-04
8385,january 13 2012,2012-01-13
8386,monday august 7 1995,1995-08-07
8387,15 oct 2000,2000-10-15
8388,14 jun 2000,2000-06-14
8389,6/15/04,2004-06-15
8390,tuesday december 3 1985,1985-12-03
8391,17 oct 1985,1985-10-17
8392,sunday march 27 1994,1994-03-27
8393,monday october 18 1982,1982-10-18
8394,17 mar 2006,2006-03-17
8395,july 20 2003,2003-07-20
8396,wednesday september 17 1997,1997-09-17
8397,tuesday may 15 2012,2012-05-15
8398,31 aug 1984,1984-08-31
8399,wednesday september 22 1999,1999-09-22
8400,sunday september 13 2015,2015-09-13
8401,26.02.01,2001-02-26
8402,25 october 2003,2003-10-25
8403,november 19 2007,2007-11-19
8404,jun 25 1994,1994-06-25
8405,june 30 1978,1978-06-30
8406,19 sep 2013,2013-09-19
8407,thursday may 15 1975,1975-05-15
8408,sunday july 16 2006,2006-07-16
8409,tuesday june 23 2015,2015-06-23
8410,tuesday march 12 1985,1985-03-12
8411,friday april 15 2011,2011-04-15
8412,saturday july 1 1978,1978-07-01
8413,monday december 27 1982,1982-12-27
8414,saturday december 26 1998,1998-12-26
8415,8/10/15,2015-08-10
8416,october 19 1989,1989-10-19
8417,10 dec 1974,1974-12-10
8418,tuesday january 30 1979,1979-01-30
8419,friday november 18 1988,1988-11-18
8420,august 27 1994,1994-08-27
8421,01.07.85,1985-07-01
8422,september 14 2015,2015-09-14
8423,30 aug 1982,1982-08-30
8424,9 05 14,2014-05-09
8425,april 10 1990,1990-04-10
8426,18 august 2014,2014-08-18
8427,thursday april 6 1978,1978-04-06
8428,monday august 10 1970,1970-08-10
8429,thursday june 29 2006,2006-06-29
8430,thursday january 27 1977,1977-01-27
8431,3 june 2007,2007-06-03
8432,29 10 96,1996-10-29
8433,11.07.11,2011-07-11
8434,tuesday february 14 2012,2012-02-14
8435,tuesday may 31 1988,1988-05-31
8436,friday july 1 1988,1988-07-01
8437,wednesday december 17 1997,1997-12-17
8438,10/4/94,1994-10-04
8439,friday august 20 2010,2010-08-20
8440,oct 16 2013,2013-10-16
8441,sunday november 16 1986,1986-11-16
8442,july 28 1997,1997-07-28
8443,11 january 1990,1990-01-11
8444,10 10 14,2014-10-10
8445,7 dec 1999,1999-12-07
8446,05 may 1987,1987-05-05
8447,wednesday december 5 2007,2007-12-05
8448,4 february 1975,1975-02-04
8449,1/5/07,2007-01-05
8450,04 oct 1988,1988-10-04
8451,friday december 30 1988,1988-12-30
8452,28 may 1996,1996-05-28
8453,monday january 26 1976,1976-01-26
8454,saturday november 7 1987,1987-11-07
8455,11 aug 1971,1971-08-11
8456,sunday november 8 1992,1992-11-08
8457,friday november 11 2016,2016-11-11
8458,6 june 2002,2002-06-06
8459,monday august 20 2012,2012-08-20
8460,sunday january 26 1986,1986-01-26
8461,2 06 17,2017-06-02
8462,tuesday february 26 2013,2013-02-26
8463,june 6 1985,1985-06-06
8464,4 dec 2004,2004-12-04
8465,15 august 2010,2010-08-15
8466,21 dec 1986,1986-12-21
8467,friday july 2 1982,1982-07-02
8468,saturday july 19 2008,2008-07-19
8469,21 oct 2001,2001-10-21
8470,7/18/89,1989-07-18
8471,tuesday october 15 1991,1991-10-15
8472,10/16/92,1992-10-16
8473,december 20 1977,1977-12-20
8474,tuesday october 20 1987,1987-10-20
8475,january 11 1973,1973-01-11
8476,saturday may 11 1991,1991-05-11
8477,thursday march 15 1979,1979-03-15
8478,august 5 1989,1989-08-05
8479,may 1 1985,1985-05-01
8480,26 06 83,1983-06-26
8481,november 10 1978,1978-11-10
8482,tuesday april 11 2000,2000-04-11
8483,thursday may 9 2002,2002-05-09
8484,june 29 2004,2004-06-29
8485,sunday august 6 1995,1995-08-06
8486,june 19 2003,2003-06-19
8487,21 sep 1972,1972-09-21
8488,19 jan 1974,1974-01-19
8489,20 sep 2016,2016-09-20
8490,friday may 29 2009,2009-05-29
8491,saturday december 6 2014,2014-12-06
8492,monday may 3 1976,1976-05-03
8493,17 dec 2008,2008-12-17
8494,02.08.03,2003-08-02
8495,26 april 1998,1998-04-26
8496,07 jun 1980,1980-06-07
8497,wednesday january 23 2002,2002-01-23
8498,20 december 2004,2004-12-20
8499,wednesday february 15 1989,1989-02-15
8500,29 may 1980,1980-05-29
8501,12 october 1991,1991-10-12
8502,thursday january 9 2014,2014-01-09
8503,sunday january 29 2006,2006-01-29
8504,thursday august 25 2005,2005-08-25
8505,saturday september 23 2017,2017-09-23
8506,12 nov 2015,2015-11-12
8507,5 july 2012,2012-07-05
8508,saturday february 9 1991,1991-02-09
8509,28 oct 2010,2010-10-28
8510,saturday july 11 2015,2015-07-11
8511,thursday july 19 1990,1990-07-19
8512,wednesday october 17 1984,1984-10-17
8513,monday october 13 1997,1997-10-13
8514,12 december 1985,1985-12-12
8515,09 oct 1970,1970-10-09
8516,jan 4 1975,1975-01-04
8517,january 7 1994,1994-01-07
8518,30 april 2011,2011-04-30
8519,9/16/03,2003-09-16
8520,3/9/93,1993-03-09
8521,4 december 1997,1997-12-04
8522,jun 24 1984,1984-06-24
8523,31 december 2002,2002-12-31
8524,jun 23 1998,1998-06-23
8525,monday june 24 2002,2002-06-24
8526,saturday november 28 1987,1987-11-28
8527,30 sep 1973,1973-09-30
8528,december 1 2012,2012-12-01
8529,23 mar 1976,1976-03-23
8530,sunday october 4 1970,1970-10-04
8531,sunday september 20 1970,1970-09-20
8532,sunday april 24 2005,2005-04-24
8533,friday october 22 1971,1971-10-22
8534,tuesday july 31 1990,1990-07-31
8535,27 may 2003,2003-05-27
8536,26 nov 1973,1973-11-26
8537,friday may 25 2012,2012-05-25
8538,29 sep 1980,1980-09-29
8539,sunday july 30 2017,2017-07-30
8540,3 feb 1990,1990-02-03
8541,12 jun 1971,1971-06-12
8542,thursday march 26 1987,1987-03-26
8543,29 nov 1998,1998-11-29
8544,wednesday march 5 2014,2014-03-05
8545,23 jul 1984,1984-07-23
8546,1/24/72,1972-01-24
8547,27 aug 2016,2016-08-27
8548,wednesday october 25 1972,1972-10-25
8549,26 july 2015,2015-07-26
8550,2 february 2008,2008-02-02
8551,22.05.97,1997-05-22
8552,friday july 9 1971,1971-07-09
8553,saturday november 12 2016,2016-11-12
8554,24 july 1995,1995-07-24
8555,wednesday march 8 2006,2006-03-08
8556,03.03.80,1980-03-03
8557,30 august 2011,2011-08-30
8558,tuesday august 29 1995,1995-08-29
8559,saturday june 30 2007,2007-06-30
8560,tuesday november 5 1974,1974-11-05
8561,18 oct 1979,1979-10-18
8562,10 jul 1976,1976-07-10
8563,sunday november 12 2006,2006-11-12
8564,friday november 27 2015,2015-11-27
8565,10 sep 1975,1975-09-10
8566,september 27 1989,1989-09-27
8567,12 september 2012,2012-09-12
8568,tuesday march 27 1979,1979-03-27
8569,friday june 16 2006,2006-06-16
8570,nov 28 1990,1990-11-28
8571,wednesday december 14 2005,2005-12-14
8572,september 12 1973,1973-09-12
8573,21 nov 1988,1988-11-21
8574,tuesday january 7 1997,1997-01-07
8575,february 12 2012,2012-02-12
8576,9/4/83,1983-09-04
8577,tuesday april 9 1996,1996-04-09
8578,29 october 2015,2015-10-29
8579,feb 22 1981,1981-02-22
8580,26 august 1988,1988-08-26
8581,tuesday november 9 1993,1993-11-09
8582,20 march 1991,1991-03-20
8583,tuesday september 9 2008,2008-09-09
8584,nov 19 1987,1987-11-19
8585,23 mar 2014,2014-03-23
8586,20 jul 1976,1976-07-20
8587,tuesday february 3 1976,1976-02-03
8588,friday october 18 1996,1996-10-18
8589,26 dec 2002,2002-12-26
8590,12 feb 1992,1992-02-12
8591,30 jun 1997,1997-06-30
8592,12.07.96,1996-07-12
8593,friday july 19 1991,1991-07-19
8594,oct 2 1993,1993-10-02
8595,may 27 1989,1989-05-27
8596,11 feb 1981,1981-02-11
8597,07.11.12,2012-11-07
8598,tuesday may 27 1986,1986-05-27
8599,thursday december 2 1993,1993-12-02
8600,14 september 2006,2006-09-14
8601,sunday june 5 2016,2016-06-05
8602,monday november 11 2013,2013-11-11
8603,sunday march 1 1970,1970-03-01
8604,5 01 08,2008-01-05
8605,5 apr 1973,1973-04-05
8606,september 14 1971,1971-09-14
8607,6 sep 1995,1995-09-06
8608,saturday january 3 2004,2004-01-03
8609,monday november 17 2008,2008-11-17
8610,wednesday december 2 1981,1981-12-02
8611,23 october 2002,2002-10-23
8612,sunday march 22 1992,1992-03-22
8613,5/13/91,1991-05-13
8614,tuesday june 24 2003,2003-06-24
8615,25 september 2012,2012-09-25
8616,april 9 2002,2002-04-09
8617,wednesday september 21 1994,1994-09-21
8618,monday august 7 2017,2017-08-07
8619,9 04 84,1984-04-09
8620,18 november 1972,1972-11-18
8621,sunday august 22 1971,1971-08-22
8622,february 20 1980,1980-02-20
8623,monday september 23 1996,1996-09-23
8624,saturday march 6 2010,2010-03-06
8625,wednesday april 4 2007,2007-04-04
8626,october 30 2015,2015-10-30
8627,sep 7 1971,1971-09-07
8628,monday january 8 1990,1990-01-08
8629,17 aug 1979,1979-08-17
8630,wednesday october 17 2012,2012-10-17
8631,december 19 2005,2005-12-19
8632,7/26/80,1980-07-26
8633,sunday december 29 1974,1974-12-29
8634,july 20 2011,2011-07-20
8635,october 17 1998,1998-10-17
8636,sunday january 23 2011,2011-01-23
8637,monday october 16 1995,1995-10-16
8638,12 jan 1991,1991-01-12
8639,25 jul 1974,1974-07-25
8640,17 jun 1996,1996-06-17
8641,july 23 1987,1987-07-23
8642,3/12/74,1974-03-12
8643,friday january 21 2005,2005-01-21
8644,monday july 15 2013,2013-07-15
8645,friday november 22 2002,2002-11-22
8646,22 dec 1984,1984-12-22
8647,friday august 5 2005,2005-08-05
8648,friday march 9 1979,1979-03-09
8649,tuesday december 27 2016,2016-12-27
8650,friday december 16 2005,2005-12-16
8651,monday july 15 2013,2013-07-15
8652,oct 25 1985,1985-10-25
8653,06 jul 2003,2003-07-06
8654,wednesday august 24 1988,1988-08-24
8655,22 jan 1971,1971-01-22
8656,monday june 20 2005,2005-06-20
8657,monday june 2 1975,1975-06-02
8658,june 3 1993,1993-06-03
8659,sunday march 20 1994,1994-03-20
8660,03 jan 1972,1972-01-03
8661,monday december 2 1974,1974-12-02
8662,tuesday april 6 2004,2004-04-06
8663,february 15 2002,2002-02-15
8664,tuesday october 4 1994,1994-10-04
8665,21 january 1971,1971-01-21
8666,1 october 1983,1983-10-01
8667,01.03.83,1983-03-01
8668,monday january 3 1977,1977-01-03
8669,thursday may 1 2014,2014-05-01
8670,monday july 31 2006,2006-07-31
8671,friday june 16 1995,1995-06-16
8672,03 jan 1975,1975-01-03
8673,16.07.77,1977-07-16
8674,tuesday june 13 1978,1978-06-13
8675,thursday july 10 1975,1975-07-10
8676,saturday october 12 1991,1991-10-12
8677,tuesday february 1 1983,1983-02-01
8678,07 nov 1975,1975-11-07
8679,3 january 1984,1984-01-03
8680,saturday february 12 1994,1994-02-12
8681,wednesday july 19 1995,1995-07-19
8682,8 october 2002,2002-10-08
8683,10 october 2010,2010-10-10
8684,sunday june 15 1975,1975-06-15
8685,14 april 1986,1986-04-14
8686,11 november 2010,2010-11-11
8687,wednesday july 23 1997,1997-07-23
8688,sunday september 18 2011,2011-09-18
8689,wednesday june 27 1973,1973-06-27
8690,1 june 2011,2011-06-01
8691,mar 4 1996,1996-03-04
8692,saturday march 15 1997,1997-03-15
8693,01 oct 1994,1994-10-01
8694,06 nov 1978,1978-11-06
8695,tuesday june 5 1984,1984-06-05
8696,november 14 1989,1989-11-14
8697,24 03 02,2002-03-24
8698,saturday may 20 1972,1972-05-20
8699,thursday october 13 1977,1977-10-13
8700,saturday december 6 1986,1986-12-06
8701,tuesday november 3 1987,1987-11-03
8702,tuesday february 19 1980,1980-02-19
8703,monday august 26 2002,2002-08-26
8704,monday april 28 1986,1986-04-28
8705,may 8 1991,1991-05-08
8706,1 april 1982,1982-04-01
8707,31 oct 1971,1971-10-31
8708,tuesday april 30 1985,1985-04-30
8709,january 27 1974,1974-01-27
8710,tuesday october 25 1977,1977-10-25
8711,24 november 1980,1980-11-24
8712,sunday october 17 1976,1976-10-17
8713,thursday october 6 2011,2011-10-06
8714,april 18 1974,1974-04-18
8715,monday august 30 2004,2004-08-30
8716,20 apr 1981,1981-04-20
8717,february 26 2000,2000-02-26
8718,14.01.74,1974-01-14
8719,monday december 22 2014,2014-12-22
8720,12/21/00,2000-12-21
8721,october 8 1996,1996-10-08
8722,26 11 13,2013-11-26
8723,saturday august 11 1979,1979-08-11
8724,wednesday june 6 2012,2012-06-06
8725,8/10/72,1972-08-10
8726,30 may 1977,1977-05-30
8727,26 september 1971,1971-09-26
8728,sunday january 2 2000,2000-01-02
8729,sunday may 7 2000,2000-05-07
8730,monday june 11 1973,1973-06-11
8731,friday january 4 1985,1985-01-04
8732,tuesday december 19 2000,2000-12-19
8733,friday november 7 2003,2003-11-07
8734,november 24 1978,1978-11-24
8735,7/24/96,1996-07-24
8736,16 mar 2008,2008-03-16
8737,27 august 1971,1971-08-27
8738,16 october 2012,2012-10-16
8739,16.03.72,1972-03-16
8740,friday august 20 1971,1971-08-20
8741,saturday february 7 2009,2009-02-07
8742,saturday may 2 1981,1981-05-02
8743,monday august 8 2005,2005-08-08
8744,8/21/88,1988-08-21
8745,3 february 1999,1999-02-03
8746,19 oct 2015,2015-10-19
8747,thursday january 17 1985,1985-01-17
8748,november 8 1987,1987-11-08
8749,nov 4 2011,2011-11-04
8750,monday january 4 1988,1988-01-04
8751,01 jun 1987,1987-06-01
8752,15 february 1975,1975-02-15
8753,september 19 1988,1988-09-19
8754,friday february 15 1974,1974-02-15
8755,9 january 1977,1977-01-09
8756,4 october 1984,1984-10-04
8757,thursday december 11 1975,1975-12-11
8758,thursday april 27 1989,1989-04-27
8759,saturday march 10 1973,1973-03-10
8760,monday november 27 1972,1972-11-27
8761,saturday august 2 2008,2008-08-02
8762,30.10.06,2006-10-30
8763,monday july 25 1988,1988-07-25
8764,14 sep 1981,1981-09-14
8765,sunday march 23 2014,2014-03-23
8766,tuesday february 6 1973,1973-02-06
8767,thursday april 11 1974,1974-04-11
8768,19 mar 2017,2017-03-19
8769,jun 8 1973,1973-06-08
8770,february 25 2010,2010-02-25
8771,07 aug 1991,1991-08-07
8772,28 oct 1990,1990-10-28
8773,december 6 1971,1971-12-06
8774,monday may 31 1976,1976-05-31
8775,2 jan 1981,1981-01-02
8776,monday november 14 1994,1994-11-14
8777,10/4/88,1988-10-04
8778,6 mar 1977,1977-03-06
8779,10/10/03,2003-10-10
8780,10 nov 1994,1994-11-10
8781,thursday april 28 1988,1988-04-28
8782,tuesday november 17 2015,2015-11-17
8783,saturday june 28 1980,1980-06-28
8784,wednesday september 16 1970,1970-09-16
8785,27 mar 2010,2010-03-27
8786,friday september 24 1982,1982-09-24
8787,friday december 8 1978,1978-12-08
8788,23 jan 1982,1982-01-23
8789,wednesday march 26 1986,1986-03-26
8790,6/7/91,1991-06-07
8791,sunday september 11 1994,1994-09-11
8792,24 07 08,2008-07-24
8793,sunday april 26 1998,1998-04-26
8794,6 nov 2002,2002-11-06
8795,mar 4 2001,2001-03-04
8796,16 jan 1981,1981-01-16
8797,21 sep 2002,2002-09-21
8798,30 may 1976,1976-05-30
8799,wednesday february 8 1989,1989-02-08
8800,wednesday october 27 2010,2010-10-27
8801,13 may 2012,2012-05-13
8802,15 12 07,2007-12-15
8803,monday march 11 1991,1991-03-11
8804,dec 25 2004,2004-12-25
8805,sunday june 24 1984,1984-06-24
8806,5 february 2012,2012-02-05
8807,thursday august 31 1978,1978-08-31
8808,31 may 1982,1982-05-31
8809,30 october 2002,2002-10-30
8810,4 february 2001,2001-02-04
8811,25 apr 1976,1976-04-25
8812,07 mar 1971,1971-03-07
8813,24 jan 2018,2018-01-24
8814,25 sep 1976,1976-09-25
8815,thursday december 26 2013,2013-12-26
8816,sunday january 3 1971,1971-01-03
8817,12 dec 1974,1974-12-12
8818,15.09.70,1970-09-15
8819,9 jul 1997,1997-07-09
8820,thursday june 26 1980,1980-06-26
8821,friday september 18 2015,2015-09-18
8822,tuesday november 20 1990,1990-11-20
8823,sunday july 13 2014,2014-07-13
8824,sunday december 24 2017,2017-12-24
8825,03 mar 1986,1986-03-03
8826,23 nov 1983,1983-11-23
8827,31 december 1991,1991-12-31
8828,thursday july 29 1971,1971-07-29
8829,thursday september 6 2001,2001-09-06
8830,9 november 1991,1991-11-09
8831,24 january 1993,1993-01-24
8832,4 apr 2014,2014-04-04
8833,saturday march 25 2017,2017-03-25
8834,november 5 1999,1999-11-05
8835,thursday october 28 1982,1982-10-28
8836,wednesday january 8 1992,1992-01-08
8837,29 may 2011,2011-05-29
8838,tuesday june 30 1970,1970-06-30
8839,wednesday march 5 1986,1986-03-05
8840,thursday october 4 1984,1984-10-04
8841,10 aug 2006,2006-08-10
8842,7 november 2007,2007-11-07
8843,25 oct 1989,1989-10-25
8844,20.12.85,1985-12-20
8845,january 3 1981,1981-01-03
8846,13 october 2002,2002-10-13
8847,14 october 1984,1984-10-14
8848,sunday december 15 2002,2002-12-15
8849,saturday may 24 2008,2008-05-24
8850,june 25 1989,1989-06-25
8851,monday december 10 2012,2012-12-10
8852,20 dec 2000,2000-12-20
8853,friday december 29 2000,2000-12-29
8854,25 jul 1991,1991-07-25
8855,28 mar 1999,1999-03-28
8856,26 august 2003,2003-08-26
8857,tuesday november 6 2001,2001-11-06
8858,march 31 2003,2003-03-31
8859,april 5 1984,1984-04-05
8860,monday january 20 2014,2014-01-20
8861,26 10 97,1997-10-26
8862,mar 21 1993,1993-03-21
8863,sep 8 1996,1996-09-08
8864,january 30 2018,2018-01-30
8865,sunday december 19 1982,1982-12-19
8866,09 aug 2017,2017-08-09
8867,19 jan 2010,2010-01-19
8868,wednesday december 10 1986,1986-12-10
8869,friday november 25 2005,2005-11-25
8870,april 23 1972,1972-04-23
8871,march 19 1975,1975-03-19
8872,22 november 2004,2004-11-22
8873,31 12 06,2006-12-31
8874,wednesday october 10 1990,1990-10-10
8875,saturday september 12 2009,2009-09-12
8876,tuesday august 12 2008,2008-08-12
8877,5 october 1978,1978-10-05
8878,thursday november 8 2007,2007-11-08
8879,26 january 1993,1993-01-26
8880,saturday october 23 1982,1982-10-23
8881,wednesday june 4 1986,1986-06-04
8882,2/11/97,1997-02-11
8883,thursday february 6 2014,2014-02-06
8884,6 june 2010,2010-06-06
8885,tuesday october 15 1985,1985-10-15
8886,3 may 1993,1993-05-03
8887,wednesday july 12 2006,2006-07-12
8888,april 16 1993,1993-04-16
8889,sunday october 18 1970,1970-10-18
8890,6/24/11,2011-06-24
8891,wednesday july 26 1989,1989-07-26
8892,23 jun 1970,1970-06-23
8893,wednesday april 18 2007,2007-04-18
8894,16 september 1999,1999-09-16
8895,17 02 87,1987-02-17
8896,sunday september 23 2001,2001-09-23
8897,4 dec 1983,1983-12-04
8898,05.04.98,1998-04-05
8899,friday september 8 2017,2017-09-08
8900,saturday april 18 1992,1992-04-18
8901,14 may 2005,2005-05-14
8902,saturday march 2 1985,1985-03-02
8903,friday september 23 2011,2011-09-23
8904,monday february 17 1997,1997-02-17
8905,wednesday july 5 2006,2006-07-05
8906,wednesday september 10 1980,1980-09-10
8907,10 january 2014,2014-01-10
8908,tuesday march 10 2009,2009-03-10
8909,27 jun 1985,1985-06-27
8910,06.02.82,1982-02-06
8911,3 jan 1990,1990-01-03
8912,october 7 1972,1972-10-07
8913,6/28/79,1979-06-28
8914,february 23 1996,1996-02-23
8915,june 13 1996,1996-06-13
8916,monday august 16 2004,2004-08-16
8917,7 february 2015,2015-02-07
8918,16 aug 1974,1974-08-16
8919,11/27/90,1990-11-27
8920,monday september 27 1971,1971-09-27
8921,2 jan 2013,2013-01-02
8922,friday august 1 1986,1986-08-01
8923,monday february 19 2018,2018-02-19
8924,january 1 1983,1983-01-01
8925,27 apr 1970,1970-04-27
8926,monday november 27 1978,1978-11-27
8927,friday november 12 2004,2004-11-12
8928,tuesday august 7 2012,2012-08-07
8929,thursday december 23 2004,2004-12-23
8930,thursday july 18 2013,2013-07-18
8931,sunday november 15 1970,1970-11-15
8932,september 15 1994,1994-09-15
8933,13 january 1975,1975-01-13
8934,sunday october 9 1994,1994-10-09
8935,thursday march 31 1994,1994-03-31
8936,august 18 1985,1985-08-18
8937,3 may 1972,1972-05-03
8938,25 mar 2004,2004-03-25
8939,thursday august 6 2015,2015-08-06
8940,tuesday october 17 2017,2017-10-17
8941,jun 17 2005,2005-06-17
8942,21 jun 2014,2014-06-21
8943,friday december 21 2001,2001-12-21
8944,9 january 1988,1988-01-09
8945,sunday february 18 1996,1996-02-18
8946,saturday april 5 1975,1975-04-05
8947,24 07 14,2014-07-24
8948,saturday march 16 2002,2002-03-16
8949,13 february 2017,2017-02-13
8950,sunday october 20 1996,1996-10-20
8951,tuesday february 5 2008,2008-02-05
8952,7 december 1970,1970-12-07
8953,7 march 1979,1979-03-07
8954,november 27 1997,1997-11-27
8955,25 05 92,1992-05-25
8956,10 apr 1972,1972-04-10
8957,21 december 2012,2012-12-21
8958,sunday july 24 1977,1977-07-24
8959,october 25 2007,2007-10-25
8960,sunday december 24 1989,1989-12-24
8961,14 feb 1989,1989-02-14
8962,wednesday february 7 2001,2001-02-07
8963,15.10.89,1989-10-15
8964,12 jul 1979,1979-07-12
8965,saturday july 17 1982,1982-07-17
8966,oct 5 1977,1977-10-05
8967,27.02.75,1975-02-27
8968,june 2 1999,1999-06-02
8969,may 27 1981,1981-05-27
8970,15.03.05,2005-03-15
8971,oct 8 1980,1980-10-08
8972,mar 28 2014,2014-03-28
8973,friday january 25 1980,1980-01-25
8974,thursday september 5 2013,2013-09-05
8975,tuesday january 15 1985,1985-01-15
8976,24 03 08,2008-03-24
8977,may 15 2010,2010-05-15
8978,tuesday february 21 1995,1995-02-21
8979,august 2 1999,1999-08-02
8980,11 09 98,1998-09-11
8981,3 jul 1981,1981-07-03
8982,10 dec 1977,1977-12-10
8983,saturday july 12 1975,1975-07-12
8984,23 april 1983,1983-04-23
8985,march 5 2013,2013-03-05
8986,sunday march 8 1981,1981-03-08
8987,august 9 1979,1979-08-09
8988,saturday december 5 2009,2009-12-05
8989,friday august 24 2001,2001-08-24
8990,monday november 11 1974,1974-11-11
8991,sunday may 24 2015,2015-05-24
8992,tuesday june 7 1983,1983-06-07
8993,5 december 1973,1973-12-05
8994,1/18/70,1970-01-18
8995,monday april 9 2012,2012-04-09
8996,monday july 14 2003,2003-07-14
8997,5/24/95,1995-05-24
8998,december 19 1978,1978-12-19
8999,4 apr 2008,2008-04-04
9000,november 19 1979,1979-11-19
9001,may 24 1981,1981-05-24
9002,26 apr 2016,2016-04-26
9003,20 jul 1971,1971-07-20
9004,sunday december 20 2015,2015-12-20
9005,07 feb 1991,1991-02-07
9006,18 january 1973,1973-01-18
9007,6 september 1975,1975-09-06
9008,30 jan 1977,1977-01-30
9009,tuesday september 28 1993,1993-09-28
9010,friday december 10 1971,1971-12-10
9011,jun 13 1975,1975-06-13
9012,friday october 20 2017,2017-10-20
9013,monday january 27 2003,2003-01-27
9014,jul 20 1972,1972-07-20
9015,friday september 9 2005,2005-09-09
9016,friday december 13 2002,2002-12-13
9017,10 feb 2001,2001-02-10
9018,wednesday december 5 1973,1973-12-05
9019,04 oct 1978,1978-10-04
9020,2/23/83,1983-02-23
9021,monday april 8 1974,1974-04-08
9022,saturday december 18 1982,1982-12-18
9023,01.05.75,1975-05-01
9024,5 august 1984,1984-08-05
9025,march 17 1980,1980-03-17
9026,24.11.73,1973-11-24
9027,28 january 1994,1994-01-28
9028,16 aug 1990,1990-08-16
9029,5 october 1997,1997-10-05
9030,21 apr 1970,1970-04-21
9031,thursday july 21 1994,1994-07-21
9032,wednesday january 17 1996,1996-01-17
9033,19 mar 2001,2001-03-19
9034,9 jun 2000,2000-06-09
9035,friday april 10 2015,2015-04-10
9036,monday march 1 1982,1982-03-01
9037,february 3 2017,2017-02-03
9038,18 jun 1979,1979-06-18
9039,july 8 1996,1996-07-08
9040,18 03 79,1979-03-18
9041,saturday august 28 1999,1999-08-28
9042,thursday october 21 2010,2010-10-21
9043,25 oct 1996,1996-10-25
9044,21 mar 1985,1985-03-21
9045,dec 26 2000,2000-12-26
9046,6 05 90,1990-05-06
9047,wednesday december 12 1990,1990-12-12
9048,july 26 1994,1994-07-26
9049,friday january 25 1974,1974-01-25
9050,monday december 26 2016,2016-12-26
9051,thursday may 18 1989,1989-05-18
9052,17 nov 1985,1985-11-17
9053,monday april 16 2007,2007-04-16
9054,tuesday february 9 1988,1988-02-09
9055,friday august 28 2009,2009-08-28
9056,13 january 2001,2001-01-13
9057,march 13 2003,2003-03-13
9058,thursday april 6 2006,2006-04-06
9059,5 november 1999,1999-11-05
9060,monday june 17 1974,1974-06-17
9061,wednesday february 9 1983,1983-02-09
9062,tuesday february 11 2003,2003-02-11
